Name,Nation,PRE_Date,PRE_Championship,PRE_Pos,PRE_100mH,PRE_HJ,PRE_Shot,PRE_200m,PRE_LJ,PRE_Jav,PRE_800m,PRE_Total,POST_Date,POST_Championship,POST_Pos,POST_100mH,POST_HJ,POST_Shot,POST_200m,POST_LJ,POST_Jav,POST_800m,POST_Total,DIFF_100mH,DIFF_HJ,DIFF_Shot,DIFF_200m,DIFF_LJ,DIFF_Jav,DIFF_800m,DIFF_Total
"Day-Monroe, Sharon",USA,30/08/2011,"Worlds, Daegu",16,1023,978,813,886,810,651,882,6043,04/08/2012,"Olympics, London",14,1040,941,813,946,804,742,946,6232,17,-37,0,60,-6,91,64,189
"Ennis-Hill, Jessica",GBR,30/08/2011,"Worlds, Daegu",1,1133,1054,839,1052,1010,666,997,6751,04/08/2012,"Olympics, London",1,1195,1054,813,1096,1001,812,984,6955,62,0,-26,44,-9,146,-13,204
"Hazel, Louise",GBR,30/08/2011,"Worlds, Daegu",13,1089,903,685,957,927,701,887,6149,04/08/2012,"Olympics, London",25,1053,724,715,935,780,809,840,5856,-36,-179,30,-22,-147,108,-47,-293
"Machtig, Julia",GER,30/08/2011,"Worlds, Daegu",15,957,978,877,838,843,739,863,6095,04/08/2012,"Olympics, London",28,903,830,860,852,322,752,819,5338,-54,-148,-17,14,-521,13,-44,-757
"Marcussen, Ida",NOR,30/08/2011,"Worlds, Daegu",18,984,867,715,820,813,762,950,5911,04/08/2012,"Olympics, London",26,967,830,758,873,795,711,912,5846,-17,-37,43,53,-18,-51,-38,-65
"Nana Djimou, Antoinette",FRA,30/08/2011,"Worlds, Daegu",6,1053,1016,799,869,890,973,709,6309,04/08/2012,"Olympics, London",4,1130,978,811,913,890,974,880,6576,77,-38,12,44,0,1,171,267
"Samuelsson, Jessica",SWE,30/08/2011,"Worlds, Daegu",14,1011,830,829,929,865,693,962,6119,04/08/2012,"Olympics, London",12,1039,941,806,957,905,706,946,6300,28,111,-23,28,40,13,-16,181
"Schwarzkopf, Lilli",GER,30/08/2011,"Worlds, Daegu",5,1028,978,854,813,905,854,889,6321,04/08/2012,"Olympics, London",2,1086,1016,845,908,943,894,957,6649,58,38,-9,95,38,40,68,328
"Skujyte, Austra",LTU,30/08/2011,"Worlds, Daegu",7,984,1054,976,794,865,844,780,6297,04/08/2012,"Olympics, London",3,978,1132,1016,848,927,882,816,6599,-6,78,40,54,62,38,36,302
"Zelinka, Jessica",CAN,30/08/2011,"Worlds, Daegu",8,1123,830,855,975,899,659,927,6268,04/08/2012,"Olympics, London",5,1178,830,848,1047,822,778,977,6480,55,0,-7,72,-77,119,50,212
